dataset_name,method,family,modality_combo,latent,modality,attention_mean,attention_std,note
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z1,raw,0.153813898563385,0.3603534996509552,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z1,stft,0.8461862206459045,0.3603534996509552,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z2,raw,0.15381936728954315,0.3604556918144226,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z2,stft,0.8461806178092957,0.3604556918144226,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z3,raw,0.15361034870147705,0.36028289794921875,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z3,stft,0.8463897109031677,0.36028289794921875,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z4,raw,0.15364386141300201,0.36025357246398926,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,Z4,stft,0.8463560938835144,0.36025357246398926,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z1,raw,0.21263837814331055,0.38489556312561035,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z1,gaf,0.7873616814613342,0.38489556312561035,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z2,raw,0.1158120408654213,0.3143894672393799,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z2,gaf,0.8841879367828369,0.3143894672393799,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z3,raw,0.11824753135442734,0.31500452756881714,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z3,gaf,0.8817524909973145,0.31500452756881714,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z4,raw,0.11723147332668304,0.31466740369796753,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,Z4,gaf,0.8827685713768005,0.31466740369796753,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z1,raw,0.051559362560510635,0.1911814659833908,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z1,stats,0.49690157175064087,0.49754753708839417,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z1,stft,0.4515390992164612,0.4855402708053589,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z2,raw,0.05245588347315788,0.19202497601509094,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z2,stats,0.49665120244026184,0.49734941124916077,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z2,stft,0.45089295506477356,0.4842970371246338,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,Z3,raw,0.07038115710020065,0.21987392008304596,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
